product success mcic calc_mcic percent game_percent offer puo cop co co1 co2 mid fo
org 1 30 30 67.2 67 1291245 58.762 1.154 1488159 1480000 1350079 0 1
equ 1 20 20 67.2 67 2209351 100.543 1.102 2430948 2430000 2317956 1 1
ore 1 40 40 68.7 68 698067 31.074 1.208 842217 842000 784115 2 1
org 1 30 30 68.7 68 1324937 58.98 1.154 1526989 1520000 1385483 0 1
equ 1 20 20 68.7 68 2264555 100.808 1.102 2491689 2490000 2375613 1 1
ore 1 40 40 69.8 69 711667 31.18 1.208 858626 858000 784692 1 1
org 1 30 30 69.8 69 1349826 59.14 1.154 1555674 1550000 1411694 0 1
equ 1 20 20 69.8 69 2305279 101.002 1.102 2536498 2530000 2373292 0 1
ore 1 40 40 70.9 70 725342 31.286 1.208 875125 875000 799959 1 1
org 1 30 30 70.9 70 1374830 59.3 1.154 1584491 1580000 1438007 0 1
equ 1 20 20 70.9 70 2346142 101.196 1.102 2581460 2580000 2461306 1 1
ore 1 40 40 71.4 71 731559 31.334 1.208 882625 882000 806629 1 1
org 1 30 30 71.4 71 1386189 59.373 1.154 1597582 1590000 1488084 1 1
equ 1 20 20 71.4 71 2364690 101.284 1.102 2601868 2600000 2435021 0 1
ore 1 40 40 72.7 72 747842 31.458 1.208 902271 902000 795731 0 1
org 1 30 30 72.7 72 1415919 59.562 1.154 1631846 1630000 1522159 1 1
equ 1 20 20 72.7 72 2413186 101.513 1.102 2655228 2650000 2530291 1 1
ore 1 40 40 73.2 73 754154 31.507 1.208 909886 909000 846789 2 1
org 1 30 30 73.2 73 1427433 59.635 1.154 1645116 1640000 1533344 1 1
equ 1 20 20 73.2 73 2431952 101.602 1.102 2675876 2670000 2573802 2 1
ore 1 40 40 74.4 74 769304 31.622 1.208 928165 928000 864168 2 1
org 1 30 30 74.4 74 1455054 59.809 1.154 1676949 1670000 1562378 1 1
equ 1 20 20 74.4 74 2476924 101.813 1.102 2725359 2720000 2550191 0 1
ore 1 40 40 75.1 75 778196 31.689 1.208 938893 938000 857968 1 1
org 1 30 30 75.1 75 1471253 59.911 1.154 1695619 1690000 1602107 2 1
equ 1 20 20 75.1 75 2503273 101.937 1.102 2754351 2750000 2650114 2 1
ore 1 40 40 76.2 76 792238 31.795 1.208 955835 955000 842893 0 1
org 1 30 30 76.2 76 1496812 60.071 1.154 1725075 1720000 1565572 0 1
equ 1 20 20 76.2 76 2544810 102.131 1.102 2800054 2800000 2620729 0 1
ore 1 40 40 77.6 77 810212 31.929 1.208 977520 977000 909948 2 1
org 1 30 30 77.6 77 1529496 60.275 1.154 1762744 1760000 1643983 1 1
equ 1 20 20 77.6 77 2597855 102.378 1.102 2858419 2850000 2748331 2 1
ore 1 40 40 78.7 78 824387 32.034 1.208 994622 994000 925822 2 1
org 1 30 30 78.7 78 1555246 60.435 1.154 1792421 1790000 1627052 0 1
equ 1 20 20 78.7 78 2639593 102.572 1.102 2904344 2900000 2768184 1 1
ore 1 40 40 79.8 79 838677 32.14 1.208 1011863 1010000 892169 0 1
org 1 30 30 79.8 79 1581182 60.595 1.154 1822312 1820000 1654202 0 1
equ 1 20 20 79.8 79 2681586 102.766 1.102 2950549 2950000 2840899 2 1
ore 1 40 40 80.3 80 845213 32.188 1.208 1019749 1010000 944693 2 1
org 1 30 30 80.3 80 1593036 60.668 1.154 1835973 1830000 1734778 2 1
